id	document	label
449543	아니 시즌2 있을 것처럼 결말 내셔놓고 시즌2 할 수가 없다뇨 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ시즌2만 기다리고 있다구요 흑흐그	
523008	아 네 인생 드라마	
666196	시그널도 2 기다리다가 가루가 될 거 같아서...라온마도 뜨뜨미지근한 그런 결말인가요ㅠㅠㅠㅠ띵작이라는 얘기 들었는데 함부로 못 뛰어들겠어요	
68230	그런결말아닙니다 꼭보세요 저희가족들 다같이 ㅂ봤어요 핵꿀잼ㅠㅅㅠ	
828041	호오 정주행해야겠네여 감사해여!!	
838399	시그널도 보고 이것도 봤는데 훨씬 괜찮고 잘 내려진 결말이었어요! 적어도 막화 보신 후 찝찝함은 없으실 거라 단언합니다!	
536065	오옷 꼭 볼게요...!!!	
211296	뭘까하고 들어왔다가 한국인 영업당하고 갑니다.. 봐야지.. 끄적끄적..	
52289	진짜 10번은 넘게 봤다......흑.....ㅠㅠㅠㅠㅠㅠ라온마 진짜 재밌어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
183842	라온마는 정말 ,, 꼭 봐야하는 드라마라구여 ㅠ 진짜  보장합니다 ..	
204466	헐 봐야겠다	
559723	라온마 짱ㅠㅠㅠㅠㅠㅠ	
977520	인생드라마 라온마ㅠㅠㅠ 제발 라온마 2 간절히 기다립니다ㅠㅠㅠㅠ	
206676	역시 의지의 한국인 그러니까 시즌2하세요	
23670	라온마가 그렇게 재밌나봐요....영업당함....	
48902	라온마는 해피엔딩입니다 태주가 행복하니까요❕	
161873	라온마 진짜 풀로 여섯번은 봤어요 ㅠㅜㅠㅜㅠㅜ흫긓그흐그ㅡ흐그흐ㅡ흐흐흐흐흫흐흐흐흐흑ㄲ그그흐긓그흐뜨흐ㅡ흐끄끅흐흐ㅡㄱ끄	
311638	라온마 시즌투 ...	
668106	대박ㅋㅋㅋㅋㅋㅋ	
824683	라온마, 비숲 정말 제 인생드라마..	
735285	이거진짜 인생작....너무 재밌어요	
113667	얼마 전에 라이프 온 마스 정주행 완료했습니다... 저 의지의 한국인에 저도 동참합니다	
101139	정경호 님 대박 꼭 봐야지	
273914	제 인생 드라마 중에 하나인데요 시그널이랑 라온마 진짜 인생 드라마인데요 그래서 시그널이랑 라온마 시즌 2는 언제 나오나요?? 나오실 것처럼 결말 끝내셨으면 내주세요ㅜㅜㅜㅜ시그널 시즌 2 도 나올 때까지 기다릴겁니다ㅠㅜㅠ	
735178	와 진짜 찐팬이네요... 저도 라온마 함 봐볼까 고민	
373460	보진 않았는데 카메라 연출이 진짜 대박이더라구요... 화각 줌하면서ㅓ 뒤로 가면서 찍는 장면이 징짜 신기해요...	
892588	라온마 2 빨리 주세여 빨리여 ㅜㅜㅜㅜㅠㅠㅠ	
51844	시그널2도여... 대체 왜 둘 다 나올 듯 떡밥만 주고 2를 안 주시냐구요!!!	
856247	진짜 마지막까지 갓벽 ㅡㅜㅜㅜ	
428717	와 요즘 한국드라마 권태긴데 이 정도로 하는 드라마라면 도전	
669654	팬덤이 불한당원 급이네요 이런 작품은 또 봐줘야하거등요 오늘부터 조집니다	
819772	와ㅋㅋㅋㅋㅋㅋㅋ 엽서랑 책받고 기겁하셨을 감독님 생각하면 안쓰럽고 웃기네요ㅋㅋㅋㅋㅋ	
940506	라온마 시즌2 주세요ㅠㅠㅠ엉엉유ㅠㅠㅠㅠㅠ	
696605	드라마 잘 안 보는데 끝까지 다 본 몇 안 되는 드라마ㅠㅠㅠㅠ 시즌 2 주세요..	
484250	진짜 ㅠㅠㅠㅠㅠㅠ대박이예요 ㅠㅠ짱이예오 라온마	
595738	엌ㅋㅋㅋㅋ대단하다	
2004	저도 재밌게 봤는데 아주아주 개인적으로 결말이 제 취향이 아니였어영ㅠㅠ	
818665	라온마 진짜 재밌어요ㅠㅠ 한태주 캐릭터 너무 취저...ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
463377	와 대박ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 진짜 재밌었어요 알바 끝나고 밥 먹으면서 보던 드라마..	
55361	라온마.. 아직도 본다구요..ㅠㅠ	
926183	라온마 지이이이인짜 재밌어요 드라마 뭘 볼지 모르겠는 분 꼭 한번 봐주세요ㅜㅜ	
584540	인생드라마 중 하나에요 ㅠㅠㅠㅠ	
637209	재수만 끝나라 라온마 하나만 판다	
217397	만약 시즌 2 하면 이번엔 고아성이랑 박성웅이 정경호 따라 현재로 와서 사건 해결했음 좋겠어요 ㅠㅠ	
535505	어디서 볼 수 있나요? 왓챠에는 원작 밖에 없네요ㅠㅠ	
429312	(본인이 직접 삭제한 댓글입니다)	
890311	감사합니다!	
968194	라온마 넷플에 있었으면 좋겠어요ㅠㅠㅠㅠㅜㅜㅜ	
975851	재미있게 보긴 했었는데 팬분들 진짜 대단하시네요....우와	
439556	와..  사랑의 불시착까지 읽다가 진ㅏ 놀랐어요 팬분들 닥단하시네요	
174968	ㅠㅠㅠㅠㅠ라온마 사랑해ㅠㅠㅠㅠㅠㅠㅠㅠㅠ한태주사랑해ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ블딥내놔ㅠㅠㅠㅠㅠㅠ헝어엉유ㅠㅠ시즌투 죽을때까지 기다려요 ....	
997390	진짜 라온마 사람 처돌이 만드는 캐릭터에 서사에 결말에 연출에 연기까지 갓벽 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
235183	우리 태주 행복하게 지내고 있지ㅜㅜㅜㅜㅜㅠㅜ	
349281	태주야 행복해야대ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ라온마 보세요ㅠㅠㅠ 최고예여	
526543	이 정도면 보러 가야겠네요..	
767733	와.....	
349099	오오 재밌겠당	
83206	글보고 영업당했다...봐야지 ㅎㅎㅎ	
675573	비밀의숲이랑 라온마 꼭 정주행해야지 후	
448637	제가 라온마 몇명을 영업시켰는지ㅠㅠㅠㅠㅠㅠㅠ짘짜 인생드라마	
159872	진짜 인생드라마..	
247917	와 대박	
724015	오늘... 다녀오ㅓ씁니다... 이정효... 내 목소리 들려...? 나 아직도 여기 시즌 투 기다리고 있어...	
566800	(본인이 직접 삭제한 댓글입니다)	
350441	네ㅠㅠㅠ 2화 양다방입니다 ㅠㅠㅠㅠ 이정효 보고 있니!!! 나 아직 안 잊었다 ㅠㅠㅠㅠㅠ	
639174	와 대박이네요	
722710	여러분,,, 라온마 보세요,,, 로맨스 거의 뭐 1도 없구요,,, 우리 태주 병약미 쩝니다,,, 결말까지 완벽하구여,,, 딥디+대본집 내주기,,, 그리고 시즌2만 나오면 완벽할것 같구요,,, 라온마 보고 나면 내가 있는 곳이 88년도같구,,, 태주 88년도 대한민국에서 행복해야해,,, 흑흑흑흑흑흑,,,	
914648	정효씨,,, 우리 외면하지마,,, 우리는 돌부처처럼 기다리고 있어,,,	
541888	쌍팔년도 그놈들의 신놔는,,, 신나는,,, (눈물) 복고수사기,,,	
704976	시즌투에선 진짜... 진짜 신날 수 있는 거죠 우리...? 그럴 수 있겠죠...?	
20515	따흐흑 우리 태주,,, 88년도에 안착했으니까,,, 더 이상 현기증 느끼지 말구,,, 병약미 말구 다른걸 보여줘요,,,	
317862	태주야 ㅠㅠㅠ 1990년의 겨울은 어때 ㅠㅠㅠ 이젠 나영이가 연탄 안 갈아줘도 되지? ㅠㅠㅠㅠ 저 18년부터 지금까지 울고 있어요...	
424193	드라마 비공굿 잘 안 사는 제가,,, 떡메도 사고 키링도 사고 사진도 인화했습니다,,, 저같은 덕후가 한두명이나고요,,,??? 오조오억명입니다,,,	
462733	ㅋㅋㅋㅋㅋㅋㅋㅋ 우와....	
503682	엔딩때 나온 미지의세계 지금도 들어요ㅠㅠㅠㅠㅠ	
682280	드라마 처음부터 끝까지 본게 나쁜녀석들이랑 라온마 두개입니다! 드라마 지루해서 잘 안보는데도 라온마는 재방으로 1~4화 우연히 봤다가 5화부터는 꼬박꼬박 본방사수했어요! 진짜 재밌어요 제발 봐주세요ㅠㅠ 저 입원했을때도 라온마 본방사수는 꼭 했을정도로 몰입감 대박입니다!! 제발 다들 라온마 봐주세요 우리 강력3반 케미 봐줘요 엉엉ㅠㅠㅠㅠ	
940687	이야 진짜 의지의 한국인 👏👏 라온마 정말 재밌게 봤었는데 어디선가 라온마 팬분들께서 이런 노력을 하고 계셨군요ㅠㅠㅠ언젠가 꼭 대본집과 딥디 나왔으면 좋겠어여ㅠㅠㅠ	
439829	아...영업 당했다..... 지금 1화 보러 갑니다..^^	
393721	이틀만에 푹 빠져서 다 봤네요ㅋㅋ 무서운 장면들은 공포영화 뺨치게 무서워서 흐린 눈으로 봤어욬ㅋㅋㅋ	
124746	우와왕!!!	
718347	헐 사이다가 기다릴 줄 알았는데 그래서 아직 발매 안된건가요...	
225696	라온마 영국판+미국판의 스토리를 따온 리메이크작이다보니 저작권 문제 해결이 어려운 것 같다고 추측하고 있습니다...! 꼭 발매됐으면 좋겠어요ㅜㅜㅜㅠ	
29357	라온마 너무 재밌게 봤는데... 블루레이가 안된다니 이게 나라냐,,, 응원합니다 꼬옥 소원성취하시길	
156253	박성웅 정경호 두 배우 케미가 어마어마한 꿀잼도 있고 쫄깃한 스릴러도 있고 가족애도 있고ㅜㅜ	
855751	인티에서 영업당해서 밤새며 정주행했던 기억이 나네요 정경호님 연기가 대박이었던 드라맙니다	
577849	영업글 보고 봤는데 재밌더라구여 ㅋㅋㅋㅋ	
7555	야후 라온마 ㅜㅜ	
876960	넷플에 없어서 어쉬웠는데 엄마 핸드폰으로 봐야 겠어요정보 감사합니다 ㅎ_ㅎ	
395452	쿠폰만 갤럭시로 발급 받으신 후, ios에  티빙 앱 설치해서 아이패드나 아이폰으로 시청하실 수도 있습니다^^	
740350	아....! 완전 팁!!!! 감사합니다ㅠㅠㅠ	
433998	이 영업도 의지의 k 국민다운 영업이 느껴지는... ㅋㅋㅋㅋㅋㅋ 이 글로 영업당해서 봐야겠어요	
351173	진짜 제 인생의 명작 사랑해요 라온마	
646402	와 쿠폰 받아서 내일 꼭 봐야겠어요	
538413	라온마 제 인생작입니다 엉엉	
791873	엉엉 내 인생드라마ㅠㅠㅠ너무 재미있어요ㅠㅠㅠ	
896553	라온마 원작도 인생작 ㅠㅍㅍ..	
544483	라온마 진짜 제 인생드라마,,,,	
468478	라온마 지발제발 봐주세요ㅜ_ㅜ 살면서 드라마 10개도 안봤는데 끝까지 봤을 정도로 띵작이에요ㅜㅜㅜㅜㅜㅜㅜㅜ인생드라마에요 정말ㅜㅜㅜ	
232877	블딥내주세요...	
715844	라온마 내 인생드라마...	
119482	요즘 라온마 글이 많군요 아주 좋습니다 라온마 인생드라마........	
116995	드라마 잘 안 보는데 영업 당해버렸네요.. 보러갈게요!	
854791	제발 블딥.. 제 인생드라마에요ㅜㅜ	
275693	와... 영업당했... 라...온...마...	
350578	아 원래 드라마 잘 안 보는데 이거 꼭 봐야겠어요ㅋㅋㅋㅋㅋㅋㅋ 저번에도 인포에서 봤었는데 영업 당했네요	
604444	라온마 제 인생드...	
721015	진짜 이거 본방 달리지 못한게 평생 한이 될 정도로 재밌음ㅠㅠ 감독님 화성인들 아직 기다리고 있습니다.. ocn에서 재방이라도 해주세요... 한태주 병약한데 능력치 쩔고 독한 남주 입니다.. 싫어 할 수 없는 캐릭터.... 저를 믿고 한번만 보십쇼	
107346	아 끝에 결국 그래서 대본집 or 블루레이가 나왔습니다!! 가 써 있을 줄 알았는데..아니였군요... 안봤지만 이정도 덕후들이 있는 드라마라면 기대되는군요ㅎ 바쁜 일이 마무리되면 꼭 봐야겠어요	
567486	이거 진짜너무너문머무뭄무미너무 재밋어요 ㅜㅜㅜㅜ	
345388	근데 이거 왜이리 자주보죠..내생각에 벌써 3~4번은 본듯...	
101742	이 드라마 정말 잊을만하면 한 번씩 글 올라오는 것 같은데 이상하게 관련글 볼때마다 재미 없었다는 분을 못 본 거 같아요...! 이렇게 된 거 이번엔 정말 꼭 봐야겠어여 주말에 봐야지	
521402	꿀잼!	
972746	아 영업당했어욬ㅋㅋㅋㅋㅋ봐야겠다 친절하게 보는 방법도 알려주시다니...	
125817	진짜 재밌었어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 저거보고 정경호님 넘 잘생거보여서 ㅠㅠㅠㅠㅠㅠㅠㅠ	
221246	라온마 안본눈 사요.....하 백번은 더 보고싶다구요	
64399	보다 말았음 ㅠㅠㅠ	
556633	라온마는 2화 혹은 3화부터 시작이라는 말이 있습니다😀😀 뒷부분 계속 보시는 것도 나쁘지 않을 것 같아요~	
291790	앗 저는 사실 7화까지인가 보다가 끈기가 없어서 보다 말았는데 이런 영업글 볼때마다 다시 첨부터 각잡고 봐야겠다는 생각이 듭니다요 흑	
404432	인생드라마에요.. 진짜 넘 재밌습니다ㅜㅠㅜㅠ	
676243	요즘 인티에 라온마 글 많이 보이는거같아서 좋네요 작년 여름에 정말 열심히 정주행했었는데ㅠㅠ 인생 드라마 중 하나	
151994	와 역시 덕후는 대단하네요.. 대본집 만든거 대박	
18762	커피차 감독님 글자 너무 귀여워요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대본집 진짜 잘 만드셨다...	
976482	라온마 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
742499	ㅋㅋㅋㅋㅇㅋㅇㅇㅋㅋㅋ 카페 글에 오늘은 온라인 총공이 있는 날입니다.. 너무웃겨ㅠㅠ( ᵒ̴̶̷̥́ _ᵒ̴̶̷̣̥̀ ) ㅋㄱㅋㄱㅋㅋㄱㅋ	
544821	인 생 남 주 한 태 주 행복해주세요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
447446	다른 드라마보다 좀 꽉 차있다고 하나 해서 정주행 못 하고 조금씩 본 드라마였는데 이 글 보니 다시 보고 싶어지네요! 근데 다들 의지 진짜 대단하시네요!!	
595823	ㅋㅋㅋㅋㅋㅋㅋㅋ우리아뿌지 인생작품	
259267	근데 이거 넷플에선 못보는거죠?ㅠㅠ	
946249	진짜 제발 봐주세요 제발...	
316558	라온마 최고에요 진짜 최고 정말 ㅠㅠ최고	
984289	이게 그렇게 재밌다는데 한번 봐야지 하고 정주행 끝냈었어요 연기력 탄탄하고 내용도 재밌고ㅠㅠ	
802044	라온마 제 인생작~	
331206	라온마,,,, 제 인생 드라마,,, 진짜 첫화 보는 순간 이걸 왜 이제야 알아서 이제야 보는거야 나 진짜 바보! 이런 생각하다가 마지막화 다가오면 안돼 안 본 눈 제발 빌려줘 다시 볼래 끝나지마... 이런 상태가 되는,, 아 라온마 진짜 재밌어요 진짜로 진짜 진짜	
498194	누가 남주 매력 이런 요소 말고 드라마 전개나 내용으로 영업 점 해 주실 분 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
556242	라온마 진짜 꼭...... 보세여,,,,	
340601	와 대박이닼ㅋㅋㅋㅋ저도 한번 보고싶네용	
947603	라온마 시즌2...딥디...대본집...제발주세요...제 인생드라마...	
198394	같이 정주행 뒤늦게 달렸던 내 자신에게 칭찬을,,,	
370193	저도영업당해서봐야겠어여 .... 다만 저 대본집 무료로 푼건... 작가의 저작권이 걸려있는거라 불법인디....ㅠㅠ아무리 스스로 영상보고 베꼈다고해도 원본이있는건 저작권이 원작가에 있는거라, 진정한팬이라믄 공유는 ㄴㄴ해주쎄용	
265156	인티에서 영업글 보고 입덕당해버렸어요ㅠㅠㅠㅠㅠㅠㅠ 한태주 반장님ㅠㅠㅠㅠㅠㅠㅠ 행복해야해....진심으로 너만 행복하면 된다....	
998216	휴 인생 드라마에여	
267650	이거 진짜 재미있게 봤어요!!ㅠㅠㅠㅠ	
73933	라온마 진짜 인생드라마 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
162639	라온마 진짜 재밌습니다..꼭 보세요,,	
694454	라온마에 진심인 사람... 오조 오억 명이야...	
424857	라온마 인생드라마입니다 5탕해도 안지겨워요ㅠㅠㅠ	
988016	라온마 제발 봐주세요 ㅠㅠ 저거 보는 거에 현생 갈아 넣었었죠 흑흑	
94525	라온마 내 인생드라마............ 사랑해ㅔ	
384551	라온마ㅠㅠㅠㅠㅠㅠ멜로가체질 두개 제 최애입니다 여러분 저의 최애를 한번쯤 봐주십쇼 모두 후회하지않을 드라마이며 저와같이 최애라며 외치고다니실거에요	
227299	라온마 ㄹㅇ 1화부터 본방챙겨봤는데 너무 재밌어요 ㅠㅠㅠㅠ 근데 과거씬 똑같은거 계속나올때마다 좀 질렸음..	
627766	라온마 진짜 인생작이에요 백번도 볼 자신 있음 ㅠㅠ	
604797	결말까지 완벽했던 유일한 제 인생 드라마에요	
777496	첸구가 무섭다는데 이거 무섭나요?? 영업당했는데ㅠㅠ	
790607	진짜 꼭 보세요,,	
511456	진짜 인생드라마...예전에 인포 영업글보고 흥미로워서 봤는데 너무 재밌어요 볼까말까 고민이신 분들 꼭 봤으면 좋겠어요	
60883	이렇게또 라온마 영업하는것봐 ㅋㅋㅋㅋㅋㅋㅋ 아주 지능적이에요	
50326	라온마 ㅠㅠㅠㅠ 또 정주행 해야겠다	
124110	라온마 재미있는데 몇몇배우 연기가 너무 어색해서....아쉬웠어요 ㅋㅋㅋㅋㅋ	
839358	쓰니 당신,, 나 영업 성공했어,, 지금 1화 보러가,,,(요)	
749642	지금 정주행하는 중입니다..... 너무 재밌어요......	
319128	이거 재밌어요 드라마 볼 때 5분마다 시계보는데 진짜 시간가는줄 모르고 다 봄ㅋㅋㅋㅋㅋㅋ	
759443	라온마 안 본 사람 없게 해주세요...	
149193	라온마 꿀잼입니다 여러분 꼭 보세요ㅠㅜㅜ	
753316	어제도 정주행했어요 제발 즌2 해주세요ㅜㅜㅜ	
894676	이거 진짜 최곱니다 밤에 일화 잠깐 보고 누웠다가 뒤에 너무 궁금해서 그 날 한 숨도 못 잤어요..	
671096	알바 그만두자마자 라온마 볼꺼에요.쒸익쒸익	
859136	와 영업당했어요 ㅋㅋㅋㅋㅋㅋ 이따 봐야지!	
866376	라온마 사랑해 ,, 진짜 꼭꼭 봐주세요	
447403	안 봤으면 큰일날뻔.... 최고에요	
67661	이거 진짜 인생 드라마... 재작년인가 친구 추천으로 봤었는데 와ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
577301	라온마 진짜 인생 드라마 봐도봐도 재밌음ㅜㅜㅜㅜ	
752644	라온마 보고 얼마동안 삐소리 환청처럼 들림 ㅠㅠ	
421035	아낰ㅋㅋㅋㅋㅋㅋ 라온마 진짜 최고 감독님 이정도면 진짜 대본이랑 블루레이 내주세요 좀 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
964737	저도 생각나면 돌려보는데 ㅜㅜ 대사 다외움 ㅜㅜㅜㅜ 시즌2 가능성 있나요?ㅜㅜㅜ	
504391	와 갑자기 보고싶네ㅋㅋㅋㅋ 드라마 안 보는 친구가 유일하게 본 드라만데ㅋㅋㅋㅋㅋ	
861252	정효 리....나 아직 포기 안하고 기다리고있어요..ㅠㅠㅠ 블딥 대본집 ost 시즌투,,, 뭐라도 내주세요 제발..ㅠㅠ	
156241	왜 카레로 하신거지,,,케찹이 뭔가 더 느낌있을것같은뎁😢	
442355	호게...절레절레	
398967	숟가락ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재밌어요ㅋㅋㅋ	
692753	이게 무슨...	
479386	프사, 닉 값하시네요 ㅋㅋㅋㅋㅋ	
100203	환장ㅋㅋㅋㅋㅋㅋㅋ	
259459	ㅋㅋㅋㅋㅋ	
517430	진짜여???	
530683	....??	
329339	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 숟가락 얹고 싶댘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
431448	ottogi	
521974	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
643653	숟가락ㅋㅋㅋㅋㅋㅋㅋㅋ	
437248	귀엽긴 하다... 사진 않겠지만	
422987	...갤럭시 왜그래...	
733602	오뚜기 직원도 안 쓸 걸 내가,?	
261210	숟가락ㅋㅋㅋㅋㅋㅋㅋ	
778887	숟가락뭐얔ㅋㅋ	
5451	스티커는 탐나네욬ㅋㅋㅋㅋㅋㅋㅋ	
606220	이걸 누가 사요ㅋㅋㅋㅋㅋㅋㅋ	
575077	숟가락 얹고싶뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
888126	오 갖고싶다	
685721	솔직히 케찹이었으면 좀 뽐뿌 왔을지도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
922334	갬성을 노린건가	
854136	안사여....저는 카메라 박살나는 20울트라 살거라구욧!	
177949	울트라 저 기능 진짜 스무스 그 자체더라고요...	
302351	우와,,,,	
843988	?	
701708	?	
764398	¿	
713310	¿?	
245121	20원	
561088	참나 20원 깎아 놓고 생색은	
